관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
중부서,2,2,3,2,105,65,"1,395",477 ,1355 ,1170 
종로서,3,3,6,5,115,98,"1,070",413 ,1278 ,1070 
남대문서,1,0,6,4,65,46,"1,153",382 ,869 ,794 
서대문서,2,2,5,4,154,124,"1,812",738 ,2056 ,1711 
혜화서,3,2,5,4,96,63,"1,114",424 ,1015 ,861 
용산서,5,5,14,14,194,173,"1,557",587 ,2050 ,1704 
성북서,2,2,2,1,86,71,953,409 ,1194 ,1015 
동대문서,5,5,13,13,173,146,"1,981",814 ,2548 ,2227 
마포서,8,8,14,10,294,247,"2,555",813 ,2983 ,2519 
영등포서,14,12,22,20,295,183,"2,964",978 ,3572 ,2961 
성동서,4,4,9,8,126,119,"1,607",597 ,1612 ,1395 
동작서,5,5,9,5,285,139,"1,865",661 ,1910 ,1587 
광진서,4,4,14,26,240,220,"3,026",1277 ,2625 ,2180 
서부서,2,2,2,1,70,59,819,293 ,1192 ,1038 
강북서,7,8,14,13,153,126,"1,434",618 ,2649 ,2348 
금천서,3,4,6,6,151,122,"1,567",888 ,2054 ,1776 
중랑서,13,12,11,9,187,148,"2,135",829 ,2847 ,2407 
강남서,3,3,15,12,300,225,"2,411",984 ,2465 ,2146 
관악서,9,8,12,14,320,221,"2,706",827 ,3298 ,2642 
강서서,7,8,13,13,262,191,"2,096",1260 ,3207 ,2718 
강동서,4,3,6,8,156,123,"2,366",789 ,2712 ,2248 
종암서,3,3,3,3,64,53,832,332 ,1015 ,840 
구로서,8,6,15,11,281,164,"2,335",889 ,3007 ,2432 
서초서,7,4,8,5,334,193,"1,982",905 ,1852 ,1607 
양천서,3,5,6,3,120,105,"1,890",672 ,2509 ,2030 
송파서,11,10,13,10,220,178,"3,239",1129 ,3295 ,2786 
노원서,10,10,7,7,197,121,"2,193",801 ,2723 ,2329 
방배서,1,2,1,1,59,56,653,186 ,547 ,491 
은평서,1,1,7,5,96,82,"1,095",418 ,1461 ,1268 
도봉서,3,3,9,10,102,106,"1,063",478 ,1487 ,1303 
수서서,10,7,6,6,149,124,"1,439",666 ,1819 ,1559 
