rank,ym,title,author,publisher,pub_date,discount,price,original_price,point,score,review_cnt,intro,url,site
1,202412,트렌드 코리아 2026,김난도 외,미래의창,2025.09.24,10%,18000,"20,000원",1000,9.59,230,"세상은 작용과 반작용, 치열한 정반합(正反合)의 소용돌이가 거세게 휘몰아치고 있다. 방향을 잡기 어려울 정도로 속도가 빠르고 정신이 없다. 그렇다면 우리의 방향타는 어디에 있는가? 거센 풍랑과 어디서 불어올지 모르는 태풍을 피하기 위해 우리는 어디에 닻을 내리고 있어야 하는가? 
관세전쟁과 특이점을 향하는 AI의 위협, 끝이 보이지 않는 전쟁의 소용돌이 속에서도 한국 경제는 자동차, 조선, 반도체에 이어 글로벌 시장에서 1위의 위업을 달성한 K뷰티, 더욱 한국적이 되어가는 K콘텐츠 열풍에 힘입어 아직은 순항을 이어가고 있다. 수많은 개인들이 보이는 역동적이고 창의적인 라이프스타일과 소비 행태들 역시 전에 없이 새롭고 흥미로운 트렌드를 만들어내고 있다. 
배는 항구에 정박해 있을 때가 가장 안전하지만, 그것이 배의 본질은 아니다. 〈트렌드 코리아〉와 함께 2026년의 바다로 항해를 이어가자.",https://product.kyobobook.co.kr/detail/S000217467412,교보문고
2,202412,절창,구병모,문학동네,2025.09.17,10%,16200,"18,000원",900,9.51,427,"더이상의 수식이 필요치 않은 작가, 그 이름이 하나의 브랜드가 된 구병모의 신작 장편소설 『절창』이 문학동네에서 출간되었다. 장편소설 『파과』로 단단한 서사 장악력을, 『네 이웃의 식탁』으로 시대를 감지하는 예리한 시선을, 『상아의 문으로』로 심원한 문학적 상상력을, 소설집 『단 하나의 문장』과 『있을 법한 모든 것』으로 한계 없는 사유의 스펙트럼을 증명해온 구병모. 전 세계 십여 개국에 번역 출간되고 뉴욕타임스 선정 ‘주목할 만한 책 100선’에 선정되었으며 영화화되어 수많은 독자의 사랑을 받은 베스트셀러와 ‘한국문학에 새로운 전망을 제시하는 실험 정신’을 가장 주요한 판단 기준으로 삼는 김현문학패를 동시에 보유한 그는 이른바 문단과 대중 양쪽에서 열렬하고 공고한 지지를 받는 독특한 위치에 자리한 작가라 할 수 있다. 그런 그의 신작 장편소설 『절창』은 누구보다 드넓은 문학적 영토를 지닌 구병모의 그 어떤 작품을 좋아하는 독자라도 만족시킬 작품이라 할 만하다. 제목인 ‘절창切創’은 ‘베인 상처’라는 뜻으로, 상처에 접촉하는 것으로 상대의 마음을 읽는 한 여성의 이야기를 담고 있다. 언어로 쉽사리 정의 내릴 수 없는 기이한 사랑 이야기이기도 한 이 소설은 오독을 전제하지 않고는 읽을 수 없는 타인이라는 영원한 텍스트를 독해하고자 하는 행위, 그리고 그 행위의 가능성과 불가능성에 대한 깊은 성찰로 나아간다.",https://product.kyobobook.co.kr/detail/S000217503188,교보문고
3,202412,다크 심리학,다크 사이드 프로젝트,어센딩,2025.07.31,10%,19710,"21,900원",1090,9.2,515,"‘다크 심리학’은 인간 본성의 어두운 면을 탐구하여 타인의 감정을 조종하거나 조작하는 기술을 융합한 것이다. 그런데 최근 들어 수많은 사람이 다크 심리학에 깊은 관심을 보인다. 과연 왜 그럴까? 바로 힘과 지혜, 권력과 지식을 통해 자신의 현재 삶을 바꾸고 싶은 인간의 심리가 기저에 깔려 있기 때문이다.
국내 최초 다크 심리학을 기반한 심리 기술을 담아낸 《다크 심리학》은 인간의 본성, 그 ‘어두운 프로그래밍’을 실전 기술로 해부한 책이다. 이 책에 담긴 ‘다크 심리 기술’은 우리가 실생활에서 타인을 설득(조종)하고, 갈등을 해결(조작)할 수 있는 탁월한 방법들을 정리한 것이다. 이를 통해 누구나 다양한 관계에서 만연한 심리적 조작에서 벗어날 수 있으며, 반대로 나에게 유리하게 이끄는 기술을 배울 수 있다.
사실 ‘다크 심리 기술’은 새로운 지식이 아니다. 인류의 오랜 역사 속에서 계속 반복되어 온 권력 획득과 유지의 법칙을 현대적으로 재해석한 것이다. 그런데 ‘이 기술’을 이미 다른 사람들에게 강력한 무기로 쓰는 사람들이 있다. 그러나 대다수의 사람은 아무것도 모른 채 그냥 조종당하고 있을 뿐이다. 세상의 모든 것은 설계되어 있다. 그런데 당신은 아무 설계도 없이 살아온 것이다.
이 책은 이미 조종당하고 있는 이들을 위한 ‘생존 설명서’와 같다. 이 책을 통해 ‘어둠의 구조’와 전략을 알게 된다면, 더는 ‘당하는 희생자’가 아니다. 더 나아가 필요하다면 ‘어둠의 기술’들을 창의적으로 재구성할 수도 있다. 지금, 당신이 살아남기 위해 가장 먼저 읽어야 할 책. 《다크 심리학》을 꼭 만나기를 바란다.",https://product.kyobobook.co.kr/detail/S000217115740,교보문고
4,202412,위버멘쉬,프리드리히 니체,떠오름(RISE),2025.03.14,10%,16020,"17,800원",890,9.32,373,"『위버멘쉬』는 니체가 주장한 ‘초인(Übermensch)’의 철학을 현대적으로 풀어낸 책이다. 위버멘쉬란 기존의 도덕과 사회적 관습을 그대로 따르는 대신, 자신의 의지로 새로운 가치를 창조하며 스스로의 삶을 개척하는 존재를 의미한다. 그는 외부의 기준에 흔들리지 않고, 모든 고통과 시련을 넘어 더 높은 곳을 향해 나아간다.

이 책은 니체의 대표작인 『인간적인, 너무나 인간적인(Human, All Too Human)』을 기반으로, 현대를 살아가는 우리가 직면한 고민과 삶의 문제에 대한 통찰을 담았다. 단순한 철학적 개념이 아니라, 우리가 현실 속에서 어떻게 자기 자신을 극복하고 성장할 수 있는지를 조명한다.니체의 날카로운 사상을 현대적 언어로 재구성하여 누구나 직관적으로 이해하고 실천할 수 있도록 구성했다. 

자기 극복, 인간관계, 감정 조절, 삶을 대하는 태도 등 현실적인 주제들을 깊이 있게 다루며, 독자들에게 스스로 질문하고 답을 찾아가는 과정의 중요성을 일깨운다.""나를 죽이지 못하는 고통은 나를 더 강하게 만든다.""이 문장을 가슴에 새기고, 세상이 아닌 나 자신을 위한 삶을 선택할 준비가 되었는가?『위버멘쉬』를 통해 자신을 뛰어넘는 길을 찾기를 희망한다.",https://product.kyobobook.co.kr/detail/S000215877577,교보문고
5,202412,모순,양귀자,쓰다,2013.04.01,10%,11700,"13,000원",650,9.79,"3,355","양귀자 소설의 힘을 보여준 베스트셀러 『모순』. 1998년에 초판이 출간된 이후 132쇄를 찍으며 여전히 많은 사랑을 받고 있는 작품을, 오래도록 소장할 수 있는 양장본으로 새롭게 선보인다. 스물다섯 살 미혼여성 안진진을 통해 모순으로 가득한 우리의 인생을 들여다본다. 작가 특유의 섬세한 문장들로 여러 인물들의 삶을 생생하게 그려내고 있다.

시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명 상태로 떠돌다 가끔씩 귀가하는 아버지, 조폭의 보스가 인생의 꿈인 남동생을 가족으로 둔 안진진. 어머니와 일란성 쌍둥이인 이모는 부유하지만 지루한 삶에 지쳐 있고, 가난한 어머니는 처리해야 할 불행들이 많아 지루할 틈이 없다. 안진진은 사뭇 다른 어머니와 이모의 삶을 바라보며 모순투성이인 삶을 어떻게 이해해야 하는지 고민하기 시작하는데….",https://product.kyobobook.co.kr/detail/S000001632467,교보문고
6,202412,손자병법,손자,현대지성,2025.10.14,10%,11700,"13,000원",650,9.84,240,"『손자병법』은 왜 2,500년 동안 고전의 자리를 지켜왔을까? 그 이유는 단순하다. 이 책이 말하는 승리의 본질은 단순히 “어떻게 이길 것인가”가 아니라 “어떻게 위태롭지 않게 살 것인가”이기 때문이다. 싸워서 이길 수도 있고 질 수도 있지만, 지더라도 위태로워지지 않는 상태, 다시 탈탈 털고 일어설 수 있는 수천 년의 검증을 견뎌낸 지혜를 전하기 때문이다. 
현대지성 클래식은 이 단단한 병법서를 오늘날 독자에게 맞게 재해석했다. 고전의 깊이를 해치지 않으면서도, 독자가 직접 삶에 적용할 수 있도록 97가지 역사적 사례와 47컷의 이미지로 풀어냈다. 항우의 몰락에서 배우는 감정 관리, 유방의 성공에서 터득하는 인재 활용, 제갈량의 지혜로 익히는 상황 판단, 링컨의 리더십으로 배우는 조직 운영까지… 이야기마다 ‘삶의 전략’이 녹아 있다. 
특히 이번 판본은 각 편마다 상세한 해설과 원문 대조, 현대적 적용을 곁들여 독자들이 손자의 사상을 단순히 읽는 데 그치지 않고 실천 지침으로 전환할 수 있도록 구성했다. 또한 노자의 사상, 병법으로 읽는 비즈니스 전략, 삼십육계 해설을 담은 부록은 『손자병법』을 한층 넓고 깊게 확장시킨다. 
빌 게이츠, 일론 머스크, 손정의가 이 책에서 삶과 경영의 지혜를 길어 올린 이유는 여기에 있다. 『손자병법』은 고대의 전쟁사가 아니라, 지금 이 순간에도 흔들리지 않는 삶의 기반을 마련해 주는 최고의 전략 교과서다. 오늘 이 책을 집어든다면, 당신도 “싸우지 않고 이기는 법”을 손에 넣게 될 것이다. 

▶ 이런 점이 다르다

“가장 입체적이고 실천적인 손자병법”
· 97가지 역사적 스토리텔링: 추상적 문장을 구체적 사례로 풀어낸 최초의 판본
· 47컷 희귀 이미지 수록: 본문을 더 깊이 이해하게 하는 배경과 역사 이미지
· 확장 부록: 노자 사상, 비즈니스·투자 전략, 삼십육계 해설로 넓어진 독서 범위
· 충실한 주석과 원문 병기: 초심자·전문가 모두 만족할 수 있는 엄밀성과 가독성의 균형
· 실용성: 조직·관계·투자·삶 전반의 전략적 사고를 가능하게 하는 구성",https://product.kyobobook.co.kr/detail/S000217919065,교보문고
7,202412,어른의 품위,최서영,북로망스,2025.10.01,10%,17550,"19,500원",970,9.52,86,"전 서점 에세이 베스트셀러 1위를 오랜 시간 지키며 수많은 독자가 위로받고 공감한 『잘될 수밖에 없는 너에게』 최서영 작가의 신작 에세이가 마침내 출간되었다.
특유의 솔직함과 밝은 에너지를 가진 최서영 작가도 나이를 한 살 한 살 먹으며 ‘어떻게 살아야 잘 사는 걸까요?’라는 오래된 질문을 붙들고 삶의 태도에 대해 깊이 고민해왔다. 성별, 연령, 직업이 모두 다른 다양한 사람을 만나다 보니 주변의 ‘나이만 많은 사람’과 ‘진짜 어른’의 차이가 바로 ‘품위’라는 것을 자연히 알게 되었다. 그래서 품위에 대해 천천히 다방면으로 생각하게 된 작가는 ‘품위’는 일차원적인 겉모습이나 거창한 장식이 아니라 마음가짐, 말투, 태도, 자세, 신념, 눈빛 등 생각에서 배어 나온다는 사실을 깨닫게 되었다. 그래서 나 자신을 돌보고 단련하며 누구에게서나 배울 점을 찾는 태도가 가장 중요하다는 것을 이제야 깨닫는 중이라고 말한다. 
타인의 시선에 신경 쓰기보다는 내가 나를 어떻게 대하는지가 중요하다. 순간의 행복을 미루지 않고 만끽할 것, 어디서나 새롭게 배울 점을 찾아낼 것, 조급해하지 않고 하루하루를 성실히 살아낼 것. 안달복달하지 않고 하루에 할 일 한 가지만 해도 알차게 보냈다고 만족할 것, 이런 날들이 모여 어제보다 단단한 나를 만들고 품위를 만든다. 이 책을 읽으며 독자 역시 내가 우선 나를 아끼고 품위 있게 대해야 한다는 사실을 저자의 한결 더 성숙해진 시선을 따라가며 깨달을 수 있을 것이다.
작가는 이번 신간에 ‘품위’를 주제로 한 신작 글들과 독자와 다시 나누고 싶은 몇 편의 글에 새 의미를 더해 모았다. 떠올리기도 창피한 실수를 저지른 과거의 나, 어려서 서툴렀던 부끄러운 나, 그리고 그럼에도 불구하고 성장하기 위해 끊임없이 고민하고 스스로를 계속 세상 밖으로 밀어내며 노력한 ‘과거의 나’가 모여 현재의 ‘나’가 되었다고 작가는 말한다. 이렇게 성장의 모습을 솔직하게 드러내고 자신의 외면과 내면을 넘어 세상까지 포용하는 다정한 말들로 가득한 작가의 신작이 삶에 조금은 지친 독자에게 다가가 가장 따뜻하게 가만가만, 등을 다독여줄 것이다.",https://product.kyobobook.co.kr/detail/S000217602005,교보문고
8,202412,박곰희 연금 부자 수업,박곰희,인플루엔셜,2025.06.25,10%,18900,"21,000원",1050,9.85,380,"대한민국이 초고령사회에 진입한 지금, 더 충격적인 현실이 드러났다. 서울금융복지상담센터 분석에 따르면 개인파산 신청자의 86%가 50대 이상 중장년층이며, 통계청 자료로는 성인 4명 중 1명이 아예 노후 준비를 포기한 상태다. 준비 없는 노후는 더 이상 남의 일이 아니다.
이런 절망적인 현실 앞에서 베스트셀러 《박곰희 투자법》 출간 5년 만에 돌아온 금융 유튜버 박곰희가 이번엔 연금으로 평생 월급 받는 비밀을 공개한다. 증권사 출신인 저자는 5년간 금융 유튜버로 활동하며 수많은 구독자의 연금 고민을 직접 들어왔다. “투자를 잘 모르는데 연금은 어떻게 준비해야 할까요?”, “3억 원으로 정말 노후 생활이 가능할까요?”, “55세, 연금 준비 늦은 걸까요?”와 같은 절실한 질문들에 대한 현실적이고 구체적인 답변을 《박곰희 연금 부자 수업》에 녹여냈다. 복잡한 투자 지식이나 목돈 없이도 4개의 절세 통장과 검증된 투자 방법만으로 누구나 따라 할 수 있는 연금 부자 로드맵을 완성했다.
이 책의 가장 혁신적인 부분은 은퇴 후 안정적인 자산 인출 전략으로 ‘4% 룰’을 적용했다는 점이다. 저자는 은퇴자금에서 매년 4%씩 인출하면 30년 이상 또는 평생 자금이 고갈되지 않는다는 검증된 방법론을 활용해 원금은 보존하면서 수익으로만 생활하는 ‘마르지 않는 현금흐름’을 만드는 구체적인 방법을 제시한다. 실제로 노벨상을 수여하는 노벨재단도 이와 유사한 원리로 120년간 꾸준히 상금을 지급해오고 있다. 저자는 이 과학적 근거를 바탕으로 연금 자산의 4~6%만 매년 인출하면 평생 사용할 수 있는 전략을 구체화했다.
또한 월 50만 원부터 200만 원까지 개인의 투자 여력에 따른 구체적인 포트폴리오와 납입 전략을 제시하고, 자산 규모별로 실제 현금흐름이 어떻게 만들어지는지 보여준다. 단순히 돈을 모으는 것에 그치지 않고, 연금 개시부터 월배당 중심 포트폴리오 전환, 세금 최적화, 수령 방식 선택까지 연금 수령의 모든 과정을 5단계로 나누어 상세히 안내한다. 
저자는 “완벽한 계획을 세우는 것보다 불완전하더라도 우선 시작하는 것이 중요하다”고 강조한다. 30~40대 직장인부터 50대 예비 은퇴자까지, 노후 준비를 시작하고 싶지만 어디서부터 손대야 할지 모르는 투자 초보자들에게 이 책은 가장 현실적이고 검증된 해답을 제시한다.",https://product.kyobobook.co.kr/detail/S000216900602,교보문고
9,202412,혼모노,성해나,창비,2025.03.28,10%,16200,"18,000원",900,9.19,709,"2024·2025 젊은작가상, 2024 이효석문학상 우수작품상 수상작 수록

작품마다 치밀한 취재와 정교한 구성을 바탕으로 한 개성적인 캐릭터와 강렬하고도 서늘한 서사로 평단과 독자의 주목을 고루 받으며 새로운 세대의 리얼리즘을 열어가고 있다 평가받는 작가 성해나가 두번째 소설집 『혼모노』를 선보인다. 성해나는 2024·2025 젊은작가상, 2024 이효석문학상 우수작품상, 2024 김만중문학상 신인상 등 다수의 문학상을 연달아 수상하고 온라인 서점 예스24가 선정한 ‘2024 한국문학의 미래가 될 젊은 작가’ 투표에서 1위로 선정되는 등 이미 그 화제성을 증명한 바 있다. 첫 소설집 『빛을 걷으면 빛』(문학동네 2022)에서 타인을 이해하려는 시도를 부드럽고 따스한 시선으로 담아내고, 첫 장편소설 『두고 온 여름』(창비 2023)에서 오해와 결별로 얼룩진 과거에 애틋한 인사를 건네고자 했던 그가 『혼모노』에 이르러 더욱 예리해진 문제의식과 흡인력 넘치는 서사를 통해 지역, 정치, 세대 등 우리를 가르는 다양한 경계를 들여다보며 세태의 풍경을 선명하게 묘파해낸다. 특히 이번 소설집에는 지난해 끊임없이 호명되며 문단을 휩쓸었다 해도 과언이 아닐 표제작 「혼모노」를 비롯해 작가에게 2년 연속 젊은작가상을 선사해준 「길티 클럽: 호랑이 만지기」, 이 계절의 소설과 올해의 문제소설에 선정된 「스무드」 등이 수록되어 더욱 눈길을 끈다. “작가의 ‘신명’이라 불”릴(추천사, 이기호) 만큼 “질투 나는 재능”(추천사, 박정민)으로 빛나는 『혼모노』, 그토록 기다려왔던 한국문학의 미래가 바로 지금 우리 앞에 도착해 있다.",https://product.kyobobook.co.kr/detail/S000216111714,교보문고
10,202412,머니 트렌드 2026,김도윤 외,북모먼트,2025.09.25,10%,23400,"26,000원",1300,9.6,125,"누적 조회수 17억 뷰! 480만 명이 열광한 경제 인사이트
2026년을 책임질 머니 트렌드의 귀환 
붉은 말의 해, 부의 상승 곡선에 올라탈 기회는 지금이다!

대한민국에서 가장 신뢰받는 경제 전망 시리즈 『머니 트렌드 2026』이 네 번째 책으로 돌아왔다. 시리즈 출범부터 화제를 모은 머니 트렌드는 지금까지 수많은 독자가 “새해에 가장 먼저 펼치는 책”, “경제를 바라보는 안목이 달라졌다”, “투자와 소비의 기준이 확실해졌다”라고 호평하는 필독서가 되었다. 흔들리는 시장에도 앞서 대비한 독자들의 경험담이 이어지면서 ‘대한민국 경제 예측의 바로미터’로 자리매김하고 있다. 
『머니 트렌드 2026』에는 거시 경제부터 주식, 부동산, 암호화폐, 테크, 문화 트렌드까지 각 분야 최전선에서 활동하는 대한민국 최고 전문가들이 집필진으로 참여해 2026년 한국 경제의 빅픽처를 그려낸다. 내일의 경제를 예측하는 것을 넘어, 당장 무엇을 준비해야 할지 스스로 방향키를 쥘 수 있도록 안내한다. 
책 속의 50가지 인사이트는 돈의 흐름을 앞서 읽게 해주는 성공 공식이다. 재테크 초보자라 해도 이 책을 통해 기본기를 갖출 수 있고, 이미 시장에 깊숙이 들어와 있는 투자자에게는 새로운 관점을 열어준다. 나아가 불확실성이 커질수록 생존을 위해 트렌드를 놓치지 말아야 하는 소상공인이나 마케터 같은 직장인, 경영인, 그리고 변동성의 파도 속에서 주요 의사결정을 해야 하는 각계 관계자들에게도 필요한 통찰이 담겼다. 
해를 거듭하며 요동치는 경제 환경에서 누구보다도 독자들이 가장 먼저 상황을 꿰뚫고 기민하게 대응하도록 돕는 머니 트렌드 시리즈. 이번 『머니 트렌드 2026』 역시, 우리가 맞닥뜨린 거대한 격변을 가늠하고 앞으로 1년을 준비할 명확한 길잡이가 되어줄 것이다.",https://product.kyobobook.co.kr/detail/S000217427392,교보문고
