year,month,rank,title,author,publisher,publish_date,price,discount,review_cnt,score,site
2025,1,1,소년이 온다,한강,창비,2014년05월,13500,10,4537,9.7,예스24
2025,1,2,채식주의자,한강,창비,2022년03월,15300,10,1723,9.2,예스24
2025,1,3,행동하지 않으면 인생은 바뀌지 않는다,브라이언 트레이시,현대지성,2024년11월,15210,10,368,9.4,예스24
2025,1,4,작별하지 않는다,한강,문학동네,2021년09월,15120,10,2474,9.6,예스24
2025,1,5,초역 부처의 말,코이케 류노스케,포레스트북스,2024년05월,16020,10,624,9.5,예스24
2025,1,6,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북,2024년12월,14850,10,195,9.7,예스24
2025,1,7,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024년10월,21420,10,849,9.5,예스24
2025,1,8,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북,2024년12월,14400,10,147,9.7,예스24
2025,1,9,미국 주식 투자의 정석,최철,황금부엉이,2025년01월,26100,10,140,9.6,예스24
2025,1,10,어른의 행복은 조용하다,태수,페이지2북스,2024년11월,16020,10,401,9.5,예스24
2025,1,11,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠),2023년12월,17820,10,540,9.8,예스24
2025,1,12,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,YBM(와이비엠),2023년12월,17820,10,467,9.8,예스24
2025,1,13,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,2024년12월,17550,10,195,9.9,예스24
2025,1,14,이처럼 사소한 것들,클레어 키건,다산책방,2023년11월,12420,10,850,9.4,예스24
2025,1,15,퓨처 셀프 30만 부 기념 스페셜 에디션,벤민 하디,상상스퀘어,2024년09월,19800,10,203,9.1,예스24
2025,1,16,내가 나라서 정말 좋아,김지훤,길벗,2025년01월,15120,10,173,9.9,예스24
2025,1,17,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013년11월,10800,10,980,9.7,예스24
2025,1,18,모순,양귀자,쓰다,2013년04월,11700,10,1804,9.6,예스24
2025,1,19,해커스 토익 기출 VOCA (보카),David Cho,해커스어학연구소,2024년08월,11610,10,1166,9.6,예스24
2025,1,20,STOP THE STEAL 대법원의 부정선거 은폐기록,"도태우, 박주현, 윤용진, 현성삼 ",스카이,2025년01월,13500,10,588,8.5,예스24
2025,1,21,트렌드 코리아 2025,"김난도, 전미영, 최지혜, 권정윤, 한다혜 외 5명",미래의창,2024년09월,18000,10,355,9.3,예스24
2025,1,22,마흔에 읽는 쇼펜하우어 (300쇄 리커버),강용수,유노북스,2023년09월,15300,10,821,8.8,예스24
2025,1,23,급류,정대건,민음사,2022년12월,12600,10,512,8.8,예스24
2025,1,24,넥서스,유발 하라리,김영사,2024년10월,25020,10,389,9.2,예스24
2025,1,25,흰,한강,문학동네,2018년04월,13050,10,794,9.7,예스24
2025,1,26,더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,이주윤,빅피시,2024년11월,19800,10,148,9.5,예스24
2025,1,27,지적 대화를 위한 넓고 얕은 지식 무한,채사장,웨일북,2024년12월,17100,10,147,9.2,예스24
2025,1,28,흔한남매 18,흔한남매,미래엔아이세움,2024년12월,14220,10,299,9.8,예스24
2025,1,29,세이노의 가르침,세이노(SayNo),데이원,2023년03월,6480,10,2800,9.0,예스24
2025,1,30,트럼프 2.0 시대,박종훈,글로퍼스,2024년11월,18000,10,381,9.5,예스24
2025,1,31,팬텀 버스터즈 2,네오쇼코,소미미디어,2025년01월,5400,10,401,9.9,예스24
2025,1,32,희랍어 시간,한강,문학동네,2011년11월,11700,10,902,9.5,예스24
2025,1,33,마음의 기술,"안-엘렌 클레르, 뱅상 트리부",상상스퀘어,2024년11월,18900,10,104,9.0,예스24
2025,1,34,왜 그들만 부자가 되는가,"필립 바구스, 안드레아스 마르크바르트",북모먼트,2025년01월,19800,10,189,9.2,예스24
2025,1,35,원피스 ONE PIECE 110,오다 에이이치로,대원,2025년01월,5400,10,309,9.8,예스24
2025,1,36,주술회전 28 더블특장판,아쿠타미 게게,서울미디어코믹스(서울문화사),2024년12월,5400,10,194,9.9,예스24
2025,1,37,초등 첫 문해력 신문 2,이다희,아울북,2024년12월,17820,10,53,10.0,예스24
2025,1,38,에그박사 14,에그박사,미래엔아이세움,2024년12월,14220,10,122,9.9,예스24
2025,1,39,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,2021년01월,17820,10,1189,9.4,예스24
2025,1,40,ETS 토익 단기공략 750+ (LC+RC),ETS,YBM(와이비엠),2020년08월,16200,10,389,9.7,예스24
2025,1,41,고전이 답했다 마땅히 살아야 할 삶에 대하여,고명환,라곰,2024년08월,15120,10,527,9.4,예스24
2025,1,42,너에게 들려주는 단단한 말,김종원,퍼스트펭귄,2024년07월,16200,10,343,9.8,예스24
2025,1,43,나라를 위해서 일한다는 거짓말,노한동,사이드웨이,2024년12월,16200,10,98,9.5,예스24
2025,1,44,ETS 토익기출 파트별 VOCA 보카,ETS,YBM(와이비엠),2022년12월,11700,10,240,9.7,예스24
2025,1,45,기록이라는 세계 (트윙클 에디션),리니,더퀘스트,2025년01월,15930,10,151,9.6,예스24
2025,1,46,일의 감각,조수용,레퍼런스 바이 비(REFERENCE by B),2024년11월,19800,10,100,9.5,예스24
2025,1,47,소득혁명,브라이언 페이지,서삼독,2024년12월,18000,10,120,8.5,예스24
2025,1,48,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2024년08월,16920,10,523,9.7,예스24
2025,1,49,무의식은 어떻게 나를 설계하는가,데이비드 이글먼,알에이치코리아(RHK),2024년11월,22500,10,123,9.7,예스24
2025,1,50,카구라바치 3 더블특전판,호카조노 타케루,대원,2025년01월,5850,10,201,9.9,예스24
2025,2,1,국민이 먼저입니다,한동훈,메디치미디어,2025년02월,19800,10,1781,8.7,예스24
2025,2,2,초역 부처의 말,코이케 류노스케,포레스트북스,2024년05월,16020,10,624,9.5,예스24
2025,2,3,소년이 온다,한강,창비,2014년05월,13500,10,4537,9.7,예스24
2025,2,4,적당한 사람,이창섭,21세기북스,2025년02월,19800,10,178,9.9,예스24
2025,2,5,황현필의 진보를 위한 역사,황현필,역바연,2025년02월,19800,10,429,7.8,예스24
2025,2,6,어른의 행복은 조용하다,태수,페이지2북스,2024년11월,16020,10,401,9.5,예스24
2025,2,7,행동하지 않으면 인생은 바뀌지 않는다,브라이언 트레이시,현대지성,2024년11월,15210,10,368,9.4,예스24
2025,2,8,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024년10월,21420,10,849,9.5,예스24
2025,2,9,채식주의자,한강,창비,2022년03월,15300,10,1723,9.2,예스24
2025,2,10,모순,양귀자,쓰다,2013년04월,11700,10,1804,9.6,예스24
2025,2,11,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠),2023년12월,17820,10,540,9.8,예스24
2025,2,12,왜 그들만 부자가 되는가,"필립 바구스, 안드레아스 마르크바르트",북모먼트,2025년01월,19800,10,189,9.2,예스24
2025,2,13,작별하지 않는다,한강,문학동네,2021년09월,15120,10,2474,9.6,예스24
2025,2,14,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,YBM(와이비엠),2023년12월,17820,10,467,9.8,예스24
2025,2,15,급류,정대건,민음사,2022년12월,12600,10,512,8.8,예스24
2025,2,16,STOP THE STEAL 대법원의 부정선거 은폐기록,"도태우, 박주현, 윤용진, 현성삼 ",스카이,2025년01월,13500,10,588,8.5,예스24
2025,2,17,사카모토 데이즈 19 트리플 특전판,스즈키 유우토,대원,2025년02월,5850,10,244,9.9,예스24
2025,2,18,내가 나라서 정말 좋아,김지훤,길벗,2025년01월,15120,10,173,9.9,예스24
2025,2,19,마음의 기술,"안-엘렌 클레르, 뱅상 트리부",상상스퀘어,2024년11월,18900,10,104,9.0,예스24
2025,2,20,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북,2024년12월,14850,10,195,9.7,예스24
2025,2,21,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,2024년12월,17550,10,195,9.9,예스24
2025,2,22,환율의 대전환,오건영,포레스트북스,2025년02월,24300,10,152,9.7,예스24
2025,2,23,내가 원하는 것을 나도 모를 때,전승환,북로망스,2025년01월,19800,10,97,9.5,예스24
2025,2,24,해커스 토익 기출 VOCA (보카),David Cho,해커스어학연구소,2024년08월,11610,10,1166,9.6,예스24
2025,2,25,이처럼 사소한 것들,클레어 키건,다산책방,2023년11월,12420,10,850,9.4,예스24
2025,2,26,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북,2024년12월,14400,10,147,9.7,예스24
2025,2,27,더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,이주윤,빅피시,2024년11월,19800,10,148,9.5,예스24
2025,2,28,퓨처 셀프 30만 부 기념 스페셜 에디션,벤민 하디,상상스퀘어,2024년09월,19800,10,203,9.1,예스24
